DS,Y
19-12-31,0
20-01-01,0
20-01-02,0
20-01-03,0
20-01-04,0
20-01-05,0
20-01-06,0
20-01-07,0
20-01-08,0
20-01-09,0
20-01-10,0
20-01-11,0
20-01-12,0
20-01-13,0
20-01-14,0
20-01-15,0
20-01-16,0
20-01-17,0
20-01-18,0
20-01-19,0
20-01-20,0
20-01-21,0
20-01-22,0
20-01-23,0
20-01-24,0
20-01-25,0
20-01-26,0
20-01-27,0
20-01-28,0
20-01-29,0
20-01-30,0
20-01-31,0
20-02-01,0
20-02-02,0
20-02-03,0
20-02-04,0
20-02-05,0
20-02-06,0
20-02-07,0
20-02-08,0
20-02-09,0
20-02-10,0
20-02-11,0
20-02-12,0
20-02-13,0
20-02-14,0
20-02-15,0
20-02-16,0
20-02-17,0
20-02-18,0
20-02-19,0
20-02-20,0
20-02-21,0
20-02-22,0
20-02-23,0
20-02-24,0
20-02-25,0
20-02-26,0
20-02-27,2
20-02-28,2
20-02-29,2
20-03-01,4
20-03-02,4
20-03-04,5
20-03-07,6
20-03-10,16
20-03-11,16
20-03-12,20
20-03-13,21
20-03-14,21
20-03-15,30
20-03-16,31
20-03-17,187
20-03-18,187
20-03-19,302
20-03-20,478
20-03-21,495
20-03-22,646
20-03-23,784
20-03-24,887
